Rate,Review,Summary
4,Worth the money,"Big one,working good 2days of use hope will work for long run"
4,Pretty good,good product nice air flow and no noice
5,Good cooler,In this price.. Good cooler..
4,Wonderful,is good for many
4,Wonderful,"It is an awesome product, light weight, easy to use and having lot of features"
1,Worthless,The product doesn't cool as rated by other customers . The cooling is very slow . Very wrost product . I recommend to not buy this item . Wastage of money .
5,Great product,looks like monster cooler. it is working as awesome
5,Great product,"Very nice product, Thank you Flipkart."
5,Must buy!,Very good
4,Good quality product,Good cooler.  It occupies more space..   Looks very large but good for Hall..   It covers all the places...
3,Decent product,"Very impressive cooler.Pros - Stylish , Energy efficient 165 Watt , Very good air throw and cooling , Summersible pumpCons - Very bulky take more place than other , No wheel , lack of ice box"
5,Brilliant,Best cooler. I bought 6884/-
5,Super!,Excellent cooler in this price range.Pros:1) Air throw is very powerful even when u run it at slow speed setting 2) Cooling and Tank capacity3) Ergonomics Cons:1) If you want to clean the cooler then opening the pads is very cumbersome process. If you have placed it on some flat surface then also draining the old water is very difficult. Overall V good cooler apart from above cons and considering price.
1,Worst experience ever!,Cooler not provide cool air... Because 1year experience.
5,Perfect product!,A good product in budget
4,Wonderful,packaging excellent. value for money product.
5,Simply awesome,"Delivered within 2 days, working good"
4,Nice product,Efficient for Large RoomsPros-1. Low Noise of Fan2. Inverter Friendly3. Cools large rooms fastly and easily4. It have Aroma chamber in which you can add tablet of frangrance to Counter Smell of Woodwool Pads5. It have 2 Section for air flow which means you can adjust it to get Air for double decker cot equally.Cons-1.They should have provided stand of castor wheel for it to move.2. It should have Ice ChamberWill Update more about it in future...
4,Worth the money,better than the steel cooler less noise and value for money
1,Useless product,"dont buy maharaja whiteline coolers , they have cheap aluminum motors that are good for at max 2 years. repair cost of these motors is so high that u would want to sell rather than repair them."
5,Excellent,Very nice product and delivery is satisfied
1,"Like an assembled, one can get for 4.5K Cheap Quality","No Quality product.1. The wood wool has started falling out from the next day.2. Out of Two Led (Indicator ) has found not working on arrival.3. The air swinger is already giving noise when moving which never used to be in my old cooler which I am using since 3 years.4. The quality is no way machine to ""Branded"" coolers.5. Anti bacterial tank has been bacterial now as there is no way to clean it. So, congested to maintain it cleanly.In my way think before you buy.AC has option to Aut..."
5,Simply awesome,Air throw is very good. It makes room very cool in just half an hour. Full tank capacity is 65 litres which stays up to 5 hours. It makes big living room colder. Not very much noisy.
5,Great product,on time delivery... Received exact product..Thank u Flipkart.
5,Wonderful,Maharaja always no 1...
5,Wonderful,Awesome product. Love this
2,Not good,Poar quality plastic material is not good.
4,Very Good,Value for money
5,Super!,Nice cooler
5,Terrific purchase,fantastic product.. great cool...
2,Slightly disappointed,"Don't buy just by seing the comments, don't know how people review and rate the product. Cooling is ok, but when it comes to fill the water, you would need inlet pipe to fill the water, we cannot open from the backsides to fill the water.Cleaning is highly impossible, because there is no way you can open and clean. Worst design. Other small small branded companies provide all those facilities, but this is worst product design, totally unhappy with this product."
4,Good quality product,Best at its price
2,Expected a better product,"This is my review after using this product for a week.1-air throw is good.2-produce less noise.3-good product at reasonable price.But it never open from behind,not easy to clean,refill the water,cable is short"
1,Horrible,Cooling fan problem
3,Nice,"After discount Rs 7200. Price is OKQuality is OKDelivery as on time OKMotor Speed 1200 rpm OKPump OKColour is OK & look is also OKWater storage is Appx 65 ltd More than 3 large bucket is OKStill giving 3 star because it is a large in size and in width, not fit to my window. Not expected.Will give next rating after couple of month usage.Thanx Flipkart."
4,Good quality product,"Product is really worthy of price 8k , however it occupied more space in room. Should one consider it before buy it. Worth for that money"
5,Simply awesome,"Mind Blowing Very Good for Hall and for Big Wondow, it's really big in size, Quality is nice, must buy"
5,Mind-blowing purchase,Good and sufficient size
5,Highly recommended,Awesome
5,Fabulous!,Good product
5,Brilliant,Best product
5,Great product,Very good
5,Highly recommended,Good product delivery on time �?��?�
5,Must buy!,Nice product deliver in time
5,Terrific purchase,I honestly liked the product.Best desert cooler at lowest price. I got the deal of 6889/-Nice brand. Good built quality with precision to each.Good switches and knobs to control.Takes space as its huge.Very silent.Not high but good speed fan to cool upto upto 12 feet.No ice tray but its not a matter.Go for it.
1,Very poor,Don't buy this product.. Within 1.5 year wind blade was broken and noise issue. Wind blow very low.. It's better to go other brand..
5,Mind-blowing purchase,Awesome product
5,Terrific purchase,Very good product.
4,Good quality product,Valu for money
4,Wonderful,Nice to
1,Useless product,Worst product ....Fan speed very slow....like nothing......
5,Terrific purchase,Best product
5,Simply awesome,"Big size, mostly like industrial cooler, but within this price and my house is big it is perfect. No wheels but  can buy stand and it works fine. If you have close home and less space go for other options."
1,Unsatisfactory,Very Bad service by Flipkart customer care representative and Jeeves agent. Too much Bad performance. No cooling just like a stand fan.
4,Really Nice,Oh really really very good I am so happy
1,Unsatisfactory,Low air and not cooling as axcpected
5,Best in the market!,Super cooling system
5,Highly recommended,Very nice working
5,Classy product,Excellent performance
4,Good quality product,Good ???�
5,Best in the market!,Wonderful product.  Can go for it.
4,Good quality product,Really desert cooler. Super cool???�????
5,Brilliant,Very Good product. Water flow must be slow from pump but it's okay.
1,Absolute rubbish!,Water inlet is not good
5,Terrific,Awesome
5,Terrific purchase,OWSUM PRODUCT
3,Just okay,Not so good
4,Nice product,"Cooler is really very good, but use any cooler ventilation os a must, without ventilation no cooler will work, especially in rainy season.Product is original, was delivered safely.- this review is after a week."
4,Good quality product,??ice product
5,Perfect product!,Not working motors and very bad poor maharaja cooler
5,Must buy!,Very good product worth buying
5,Perfect product!,Good product
2,Bad quality,Fan speed is slow and making lot of noise
5,Mind-blowing purchase,Nice cooler .Perfect for hall.
4,Worth the money,Very good cooling
1,Worst experience ever!,Average production
4,Really Nice,Awesome
5,Fabulous!,Awesome
5,Highly recommended,Nice product
5,Fabulous!,Good aircoolr
4,Good quality product,Nice
5,Great product,Good condition best cooling
4,Really Nice,Good product
5,Wonderful,Good
5,Just wow!,"Superb nice cooling,simply awesome unbeatable at this price range."
4,Good quality product,"Build quality is better than Symphony Jumbo 70.However, cooling is a bit lesser and noise a bit more than Symphony Jumbo 70.A larger tank capacity of 90-100 ltr with Aspen pads is desirable."
3,Just okay,Product quality is very bad  and fan blade broken... Air flow average
5,Super!,Good product
3,Nice,Nice product
5,Fabulous!,Amazing
1,Worthless,This cooler is not not cooling the room
5,Worth every penny,Excellent
4,Worth the money,Cooling system is good
1,Absolute rubbish!,Speed  of cooler is slower than fan after one week of use.
5,Super!,Awesome for big rooms.
4,Very Good,"Cooler is good but sige is big colling good prise 6500The cooler is good, but its airing speed is low.Makes very little noise and is good to watch."
4,Really Nice,Good product
3,Just okay,Speed is very slow
5,Terrific purchase,"Very good product, in all respect it is one of the best desert cooler in the market and finally thanks to Flipkart & product designer/ manufacturers.it looks simple but cooling effect is amaging ."
5,Mind-blowing purchase,Very good
5,Highly recommended,Awesome
1,Very poor,Not satisfied with the cooling very bad cooling
5,Mind-blowing purchase,I think that it is small but it is big and Colling is excellent
5,Terrific purchase,Very nice product I am happy
5,Best in the market!,I like it. It is good.
5,Excellent,Good
4,Delightful,The product is very good and the product was delivered on time.
5,Wonderful,Very nice
5,Great product,As expected it's fit to 150sqft room. Cool air
1,Worst experience ever!,Fan speed low and do not proper cooling....
5,Terrific,Excellent ???????????�
4,Value-for-money,Good but it's too Big
5,Fabulous!,Superb cooler. It cools room within 5 minute . Amazing cooler amazing price.
4,Good choice,"Good Quality Product, Drain system needs improvement"
5,Must buy!,Best cooler in market
4,Good quality product,"Smart cooling, we are using the cooler in fan speed of one feeling like winter. Thanks maharaja..."
5,Wonderful,Thanks
4,Very Good,Fantastic product thanks maharaja & filpcart
5,Excellent,Awesome ???�
1,Very poor,Very useless service
5,Mind-blowing purchase,Good
5,Classy product,Occupies space but is worth it
4,Wonderful,Nice cooler with strong and quality built. Using it  from last 2 months.
1,Worst experience ever!,If ur staying in hot city. This is waste. Don't buy.
5,Just wow!,Excellent
3,Nice,Cooler is good but very dirty smell ???�
1,Absolute rubbish!,Not effective cooling. Fan area of effect is also very narrow. Not ideal. Returned it.
3,Decent product,Built quality is not up to the mark. Overall avearge.
5,Mind-blowing purchase,Awesome
1,Hated it!,"Very bad product. Its water tank is not sufficient for a day, tank empty in 4 hours and not open easily for cleaning"
1,Useless product,Wrost cooler ever purchased. Not even 10 feet throw. Build quality is not upto mark. Purchase another good brand cooler instead of this.
4,Wonderful,Good working in maharaja
5,Awesome,Nice cooler... You can go for it�?��?�
5,Super!,Fabulous
4,Good quality product,value for money
3,Fair,Cooling very late n water will come slowly
4,Worth the money,Good but how to wash the cooler....... It's tension.........
4,Good choice,Nice products...
3,Good,Fan speed is low but great cooling
5,Simply awesome,"Good cooler for big rooms, water lasts full night works best with cross ventilation, highly recommended"
4,Value-for-money,Very good and smooth working.. All functions are very good but wood grass all side bad improve side honeycomb cooling pad.
1,Absolute rubbish!,Waste of money ???�???�
1,Unsatisfactory,Not god air thorw not god quality not accepted
4,Good quality product,"Cheap and best cooler, even good for extreme summer"
5,Mind-blowing purchase,Nice product
5,Awesome,I am very happy
5,Terrific,Nice
3,Nice,Air throw weak
5,Wonderful,super
1,Terrible product,Too much big size
5,Super!,Best
5,Best in the market!,Just awsm... it's cooling beats many expensive branded cooler .... price is also very decent comparing other coolers
4,Good choice,Good
5,Terrific purchase,It's a big cooler..air throw is good. Cooling is also good. Build material is sturdy. Water inlet shuld be Little bit big... overall I am satisfied with the product.
5,Super!,Good cooling low noise. Better Daily change the water to avoid smell. Separate water hose required for water loading.
4,Good choice,Good quality
5,Best in the market!,Very good. In time delivery. Beautiful organization from flipcort.Thank you.
1,Not recommended at all,"Very bad product, bad quality,. Low air flow, not useful product, waist money, before 100 time think purchasing this product. This product r not refundable. All Flipkart assistant was misguid."
5,Awesome,Delivery of the product is amazing as usual And Delivery Person is also very Helpful
5,Terrific,I am writing a review after using it for 4 days. This cooler is very nice. Size is jumbo. Cooling starts in the room after a while at night.
4,Delightful,"I am giving 4 star but its deserv 10 out 9 i m cutting 1 star due to stand and water indicator, once stand n water indicator will include this will be become the best, nice air cooling, super design, power air throught range no sound overall worth to buy."
4,Very Good,Nice product
5,Perfect product!,Yes! It's quite good..you can go for it.. nicely delivered..thank you flipkart.
5,Perfect product!,Value for Money
5,Super!,Very good
1,Hated it!,Very poor product and heavy smell through out the room. Received damaged
3,Decent product,Ok
5,Terrific,This is aws product at healthy price. It's worth to buy.
5,Excellent,Very nice ???�
5,Terrific,"I was vary of buying coole online as I cannot check the airflow or faults before purchasing. But this cooler really changed my mind. I did extensive research, watched reviews, and at the end selected this. This is a beast of a cooler, the airflow is absolutely amazing. For this sizzling weather this cooler really throws cool air. One advice, always keep your coolers in a fully ventilated area, like outside a window. Then you will see how great it works. This was a great purchase, and if you a..."
5,Simply awesome,Nice
5,Brilliant,Very good product. Very nice cooling.
5,Classy product,"Good one , very less noise"
4,Wonderful,good
5,Best in the market!,It's great..works like an AC.
5,Best in the market!,"Best cooler,low noise and better cooling"
5,Best in the market!,Super
1,Did not meet expectations,Delivered the Product on time but the demo was not done even after two weeks for which the amount is already deducted. Complaint was raised but they are dragging that will be done in 24 hours. But many 24 & 48 hours have gone.
5,Wonderful,awaesome cooler.... it is better than symphony
5,Classy product,Flipkart delivery very nice and product in this time good
5,Just wow!,Cooler is so good and cooling best.Thank you Flipkart
5,Terrific,Good one.
4,Very Good,Nice product cooling air
5,Fabulous!,Best air cooler ???�
5,Simply awesome,After use of one week in extreme conditions i feel this cooler works very fine strongly recommend to buy this product
4,Delightful,LOOKS Good purchase and Economical. Tge power cord should have been 5 meters or 6 meters length instead of existing 2 meters given the huge size if this Desert cooler.
4,Value-for-money,It's best small family
1,Very poor,EXTREMELY HORRIBLE SERVICE.DO NOT ORDER
4,Nice product,Extremely good productGood product for lower floor and not good for the top floor.
5,Terrific,Verry Good Indian Fast Desert Coolar verey verry nise product
4,Value-for-money,"Air cooler is better, im happy recived your product !!"
4,Wonderful,Good Product
3,Decent product,We found inside fan bed will not fixed properly and also bolt nuts fall inside. Further remaing all ok
5,Must buy!,Nice product
5,Mind-blowing purchase,Awesome product
5,Super!,Good cooler
5,Highly recommended,Very good product ..On very first day it fell on the floor from table with full water but quality of product is too good still working ...Thankyou flipkart ..
5,Super!,Fantastic cooling
5,Excellent,Nice cooling
3,Good,Please share a good operating manual. How are we supposed to flush out water? Nothing like mentioned. Also dismantling back needs a specialist. Please design in such way where even elders can operate
1,Horrible,"Worst product , don't waste your money"
5,Fabulous!,Excellent product.
5,Perfect product!,nice cooler awesome product
3,Decent product,blade of cooler fan is broken
2,Badly disappointed,Air delivery is very bad. Not even cooling 10X13 Room
5,Fabulous!,Very nice
3,Good,Performance reduced after 2 months
5,Perfect product!,It's more than my expectations.. Iam so happy.. And as usual excellent flipkart service
1,Terrible product,"Worst model, all user please don't buy."
1,Unsatisfactory,Not good
5,Fabulous!,Super
5,Just wow!,Nice product
5,Highly recommended,Overall good product Cons Come without stand
4,Good quality product,Good product nd fast delivery.
3,Just okay,Good.... Bt without wheel or stand very difficult to move.....
5,Excellent,"Best ???� product, with resionable price"
5,Mind-blowing purchase,It is ok
4,Value-for-money,Good
5,Worth every penny,Nice product
5,Brilliant,Coling is best another cooler
4,Wonderful,Coolar is good but suggest that i thinks wheel also  provide in coolar for easy movement
5,Terrific purchase,Good to go
1,Unsatisfactory,Very huge in size cooling no good feels air just like normal fan
4,Value-for-money,Awesome
2,Not good,Worst...
5,Excellent,Cooler chilled the room very fast
3,Nice,It's good but size is too big
5,Just wow!,Its huge and secondly its as good as ac but the problem is you cannot control the cooling its good if you have a 1500 sqft house
4,Wonderful,It is perfect for your daughter marriage items no doubt it is big and it is room cooler
5,Brilliant,Amazing product. It works wonders in 45?�c and always go for wood woolen pads as they're better than honeycomb.
5,Best in the market!,Very good product Don't think much more Go for it Absolutely value of money
4,Very Good,It is BIG. Moving it is problematic. It would have been easier to clean if the side panels were easily removable. Does a decent job of cooling the room.
4,Worth the money,Good product
5,Must buy!,It's very good products in online it's very well
4,Wonderful,good
1,Utterly Disappointed,It's a very poor quality product. Don't buy its
4,Really Nice,Good with price
5,Mind-blowing purchase,Too good product
4,Pretty good,Excellent cooler happy with it...
5,Awesome,Very good product in low price. Its our second plastic cooler and I am happy with its cooling and other features. In future I definitely buy it again and recommend to others also. Thanks Flipkart.
1,Terrible product,Worst product ???�???�???�
3,Does the job,Plastic quality is not that strong as of symphony coolers
5,Excellent,Very good product
3,Decent product,"Not upto the reviews build up level. Too bulky, quite noisy, lack of wheel is biggest disadvantage. Buy at your own risk!!! Not happy overall"
1,Did not meet expectations,Nonetheless i gives the feel of A.C
1,Absolute rubbish!,"This product does not cool as much as it was written in the advertisement, I am not so happy with this product."
4,Very Good,Good
4,Good quality product,Yup satisfied ???�
3,Does the job,Air flow is not that good.
3,Nice,no stand and little noisy cooler
4,Worth the money,Very nice product
4,Worth the money,Good one..But still sounds generated by cooler are very noisy.Must buy stand with this cooler .
5,Perfect product!,Nice product. Thanks to flipkart for early delivery. Special thanks to delivery boy for gentle behaviour ..
4,Value-for-money,Nice product with decent price.
4,Pretty good,Prompt delivery.. Satisfied ..value for money
5,Excellent,It's awesome cooler
5,Best in the market!,Good
2,Not good,Good product. But the only drawback is to clean it. The nob in bottom available to drain water but that is not helpful if you don't have trolley.
5,Excellent,Excellent Product. Water consumption is good. If anyone plan to buy cooler then I recommended only the RAMBO.
5,Super!,"Best cooler , heavy duty , stong body"
5,Perfect product!,Good  product
4,Delightful,Product is very good.. quality of product is also good..thanks Flipkart for providing safe and on time delivery.
2,Moderate,Not cooling
1,Very poor,no expected speed and not cooling this product.
1,Horrible,There are no wheels to move cooler...It's very hard to place cooler after filling water...Horrible experience...Don't go for this...
5,Perfect product!,Have one or two very small negligible issues otherwise product is very good. Completely cools the room.
5,Super!,Fantastic coolar nice cooling like ac
5,Worth every penny,"Nice product, cooling and speed is good."
5,Fabulous!,Good
4,Wonderful,Nice cooling nice products But body isn't properly fit
5,Best in the market!,Superb cooler in this price
5,Wonderful,Awesome
1,Absolute rubbish!,Please dont buy this productAfter 1 month fan is not work properBuy blower fan cooler Blower fan cooler is best
5,Mind-blowing purchase,Nice cooler Cooling awesome
4,Nice product,Very nice product......
5,Simply awesome,Super cooling
4,Really Nice,Excellent product
4,Delightful,Nice prodouct
5,Super!,Excellent air cooler.
4,Really Nice,Overall very goodBut warranty card 3 month ago
4,Wonderful,Good air cooler Value for money Sound is very less Build quality need to be improve.
5,Best in the market!,Super...........  Very good product
5,Terrific purchase,"Nice one, no need of AC"
5,Fabulous!,Fantastic cooler in this range. Chilled more than expected.
5,Fabulous!,Good
4,Delightful,Simple super
5,Excellent,Good Product
5,Worth every penny,"Working great. Three side cooling pad has increased its efficiency. The fan speed and airflow amount could be better. It is very difficult to put water from the front. A lot of design flaws. But at this price point, it's better than other brand products. For optimal comfort and cooling, the cooler needs to put outside the room in an open space or near the window of a well-ventilated room."
5,Brilliant,Awesome product.... if possible pls provide wheel stand with product.
5,Terrific purchase,Good product. The only draw back is there is no space for putting ice.
3,Just okay,Unable to open to change water or grass..
5,Excellent,Nice product with good blower and fast cooling.... A real satisfaction for money.....
1,Horrible,Don't buy any one
2,Bad quality,Built quality is good but fan is not much powerful as expected it is good for small room. I am going to return it
5,Excellent,This is  best Air cooler within 8K price tag.
4,Value-for-money,Cooling is perfect.
3,Good,Good quality
5,Must buy!,Awesome in everything...value for money.....nice cooling
4,Really Nice,Cooler is jabardast but not honeycomb pad
5,Classy product,Very good product in this price....
5,Perfect product!,Minimum price maximum performance
5,Perfect product!,Fantastic products in such low price.. go for this without hesitation
5,Worth every penny,Superb
5,Worth every penny,Very niceCooling very goodSize Big
4,Worth the money,nice product
4,Value-for-money,"First thing cooler is very silent ,at the lowest speed noise is minimalSecond all the other things is equivalent to 10-15,000 price cooler"
5,Just wow!,Very nice  product I am satisfied this order
4,Pretty good,Wanted to give 5 �?� but to handle this huge cooler atleast it should have wheels at the bottom. Unfortunately it's not available.
5,Fabulous!,Nice product
4,Good quality product,Awesome.product..best cooling
5,Worth every penny,Very very nice product
3,Nice,Product does not working defective please return
4,Delightful,"Best performance and minimum sound.Thanku Flipkart...,."
5,Mind-blowing purchase,Superb go for it
3,Good,Wonderfull
5,Best in the market!,"Good product,delivered in few days"
1,Terrible product,No doubt it is good in this price
5,Must buy!,AwesomeFull satisfied
5,Fabulous!,Excellent cooling at this price range.Delivered as per the date expected.
5,Classy product,Good
5,Terrific purchase,Veri nice desert cooler. Size of the cooler exceed the expectations. Timely delivered.
4,Good quality product,Thank u flipcart for quick delivery
4,BEST PRODUCT AND BEST BUY,"Thanks to FLIPCART ,very fast delivery .Boys are with corona precautions .Best cooler ,but need to give more plug wire and stand ..This is not a cooler ,feel like AC"
1,Utterly Disappointed,"Don't buy this product total waste of money and time, fan speed slowly decreasing and cooling is not that good, consistent."
5,Classy product,One of the best cooler .good use plastic meterial.best cooling
5,Mind-blowing purchase,Very good product
4,Pretty good,"Value for money, good"
5,Simply awesome,It's good
5,Highly recommended,Good man
5,Classy product,Superb cooling.
5,Just wow!,Super ????????????
5,Must buy!,Perfect cooler as it's name Maharaja and gives very cool air in hot and dry climate
5,Excellent,Super cool and quality
5,Worth every penny,Excellent team. Safe & hygiene delivery.Product working really great
5,Super!,Noiseless...air pressure n speed awesome...cooling like Ac...really worth it product ...colour design all r decent
5,Awesome,Product is good and the behavior of delivery boy is also good  nice product flipkart thankyou
5,Must buy!,Nice product in this price.
4,Good quality product,"Cooling best ,minimum sound ,fan speed goodBut some parts of the cooler are missingNo service avaialbleWe called Flipcart they didn't respond properly ...finally we got the spare parts from local service shop"
5,Classy product,Low on noise high capacity big inner space for cooling
5,Wonderful,Good product and nice cooling...but it's accupy large place it suitable in hall
5,Just wow!,Best cooler. I got it for 7k .
5,Classy product,Good but there is have no stand that's much desopointed
4,Good choice,very cool
3,Fair,Nice cooler
4,Wonderful,Excellent but it's big sound as compare to others cooler.
5,Fabulous!,very nice product go without second thought it is far better than 70 L also as pad is wood wool it is better than hone bee its chilled the room within 15 min purchase blidenly
4,Very Good,Nice cooler in this range .
4,Pretty good,Cooler is Good and nice coolingNice service nice coolling
5,Perfect product!,This cooler is cool��?�?�
4,Nice product,Everything was superb!!...only this was it doesn't have wheels under it.
4,Very Good,Nice cooler
5,Worth every penny,Excellent cooler. Received it two days back. It makes my room very cool even in Mumbai. The delivery boys were also very polite. Prompt delivery
1,Not recommended at all,"Not good ,Water leaking after one month return period"
4,Pretty good,Good produt
3,Just okay,Good
5,Terrific purchase,Affordable and best quality
4,Good choice,Good
5,Brilliant,Excellent
1,Hated it!,Not support after shell warranty
5,Classy product,Thanks ???�
5,Worth every penny,"Good cooling, Minimum power consumption.... over all good"
4,Worth the money,Good product. But no instructions. It is very difficult to clean it. So I think it's better to give instructions to open and usage also.
4,Value-for-money,Super
5,Highly recommended,Amazing purchase!
3,Good,Ok
1,Very poor,"RH levels getting down at room, may be due to wooden cooling pads.entire human body getting sweat.local made is better than this.waste of money."
1,Not recommended at all,"Send Damage product. Dont buy,"
5,Simply awesome,Great product
5,Just wow!,"excellent cooler, excellent air flow, super cooling , almost silence function,Sturdy body,smart looking cooler.Thank to Maharaja White line and flipkart."
4,Good quality product,It's just take lots of water...
5,Worth every penny,very nice best cooler must buy
5,Just wow!,It's simply awesome all in one... Just go for it
4,Very Good,"Plastic body is weak, rest everything is good."
4,Worth the money,"Overall product is good , only problem is to move the cooler, it doesn't have wheels and also water inlet is provided in the bottom...nice product"
5,Terrific,Superb cooling
5,Must buy!,One of the best best product.
5,Terrific purchase,Good cooling
5,Super!,I am so happy for this purchase. quality of Product is very good.
5,Excellent,Nice product
4,Really Nice,Nice
5,Mind-blowing purchase,Built solid. Cooling super effective. It has water indicator. Fan is very sturdy as well. Have been using it since few days. Overall quite satisfied untill now. Proper desert cooler. Powerful.
5,Simply awesome,Very nice products
5,Wonderful,Size too big guuz so much bigger than expected it can occupy 2man sitting place
5,Just wow!,It's too good boss I am very happy.i was purchased in 6434rs in 31may.i recomded this product in air cooler but it's too large so pls saw the image than purchased.
1,Don't waste your money,Fan speed is maximum 3 hours.then slow action speed.customer care support bad..not responce..dont buy...u think buy other brands...
5,Wonderful,Good
5,Great product,Very good
5,Brilliant,Perfact
5,Excellent,Nice cooler
5,Terrific purchase,Very nice cooler after using for constant seven days ....today I'm writing it....it's worth the money ...
4,Worth the money,Nice cooler at this price.
3,Just okay,Good but not exact what I expect
2,Bad quality,Too big
5,Brilliant,"Nice product,  big size,worth of money ,fast delivery"
3,Good,It's ok
4,Worth the money,Worth it
4,Value-for-money,Nice cooler
5,Perfect product!,V good cooler
5,Perfect product!,I love it
4,Value-for-money,Very fast delivery  thank you
5,Best in the market!,Good
5,Simply awesome,Good item.
5,Just wow!,It Is working well and cost I think is some high.. But product is so good..
3,Good,Good one
5,Worth every penny,Awesome Product by Maharaja Whiteline
5,Great product,Very good product
5,Highly recommended,I loved this item ... worth the 7500 rupees .  It's too big than whatever we expected .!!!
4,Nice product,Product is good. Not got suitable stand
5,Just wow!,Nice cooler
5,Mind-blowing purchase,Good
5,Excellent,Best in my room
5,Highly recommended,Nice..  super..
5,Brilliant,Good cooler
5,Worth every penny,"Very nice,  recommended"
3,Utterly Disappointed,item is vry bad ...i hate flipcart item. this watch is
5,Brilliant,good product.....buying worst
5,Classy product,"It's very powerful, and best working.I like it but size is issue.Very big sizes"
4,Very Good,Working properly.like this cooler.
5,Best in the market!,Nice product superb cooling  and supersilent
4,Delightful,Overall product is very nice only drawback is it is large in size.
5,Must buy!,Super
5,Must buy!,"Very good cooler, feeling like AC in summer."
2,Expected a better product,It is suitable for 1 man only
5,Excellent,I love it
